,query,use_case,org_role,results_found
FTP,"org~""GE Renewable Energy"" and service=ftp and port=21 and country=US and last_seen>2024-07-24","File transfer of SCADA logs, turbine firmware/configs, or engineering access.",Turbine OEM with grid interfaces,0
FTP,"org~""GE RE"" and service=ftp and port=21 and country=GB and last_seen>2024-07-24","File transfer of SCADA logs, turbine firmware/configs, or engineering access.",Turbine OEM with grid interfaces,1
FTP,"org~""Senvion"" and service=ftp and port=21 and country=DE and last_seen>2024-07-24","File transfer of SCADA logs, turbine firmware/configs, or engineering access.",Turbine vendor with legacy systems,0
FTP,"org~""Vattenfall"" and service=ftp and port=21 and country=SE and last_seen>2024-07-24","File transfer of SCADA logs, turbine firmware/configs, or engineering access.",Wind farm operator,0
FTP,"org~""E.ON"" and service=ftp and port=21 and country=DE and last_seen>2024-07-24","File transfer of SCADA logs, turbine firmware/configs, or engineering access.",Energy utility and operator,2
FTP,"org~""Principle Power"" and service=ftp and port=21 and country=PT and last_seen>2024-07-24","File transfer of SCADA logs, turbine firmware/configs, or engineering access.",Floating platform developer,0
FTP,"org~""Power"" and service=ftp and port=21 and country=PT and last_seen>2024-07-24","File transfer of SCADA logs, turbine firmware/configs, or engineering access.",Floating platform developer,11
FTP,"org~""Parkwind"" and service=ftp and port=21 and country=BE and last_seen>2024-07-24","File transfer of SCADA logs, turbine firmware/configs, or engineering access.",Offshore wind operator,0
FTP,"org~""C-Power"" and service=ftp and port=21 and country=BE and last_seen>2024-07-24","File transfer of SCADA logs, turbine firmware/configs, or engineering access.",Offshore wind farm operator,0
Modbus,"org~""Siemens Gamesa"" and service=modbus and port=502 and country=DE and last_seen>2024-07-24","Used in fieldbus communications for sensors, breakers, and PLCs in wind farms.",Turbine and SCADA system vendor,0
Modbus,"org~""Siemens"" and service=modbus and port=502 and country=DE and last_seen>2024-07-24","Used in fieldbus communications for sensors, breakers, and PLCs in wind farms.",Turbine and SCADA system vendor,20
Modbus,"org~""GE Renewable Energy"" and service=modbus and port=502 and country=GB and last_seen>2024-07-24","Used in fieldbus communications for sensors, breakers, and PLCs in wind farms.",Turbine and grid interface vendor,0
Modbus,"org~""GE"" and service=modbus and port=502 and country=GB and last_seen>2024-07-24","Used in fieldbus communications for sensors, breakers, and PLCs in wind farms.",Turbine and grid interface vendor,5
Modbus,"org~""Vestas"" and service=modbus and port=502 and country=DK and last_seen>2024-07-24","Used in fieldbus communications for sensors, breakers, and PLCs in wind farms.",Turbine vendor,0
Modbus,"org~""MHI Vestas"" and service=modbus and port=502 and country=DK and last_seen>2024-07-24","Used in fieldbus communications for sensors, breakers, and PLCs in wind farms.",Turbine vendor,0
Modbus,"org~""Senvion"" and service=modbus and port=502 and country=DE and last_seen>2024-07-24","Used in fieldbus communications for sensors, breakers, and PLCs in wind farms.",Legacy turbine vendor,0
Modbus,"org~""Principle Power"" and service=modbus and port=502 and country=PT and last_seen>2024-07-24","Used in fieldbus communications for sensors, breakers, and PLCs in wind farms.",Floating wind foundation developer,0
Modbus,"org~""Power"" and service=modbus and port=502 and country=PT and last_seen>2024-07-24","Used in fieldbus communications for sensors, breakers, and PLCs in wind farms.",Floating wind foundation developer,2
Modbus,"org~""ABB"" and service=modbus and port=502 and country=SE and last_seen>2024-07-24","Used in fieldbus communications for sensors, breakers, and PLCs in wind farms.",Field-level control and substation automation,0
Modbus,"org~""Ørsted"" and service=modbus and port=502 and country=DK and last_seen>2024-07-24","Used in fieldbus communications for sensors, breakers, and PLCs in wind farms.",Wind farm operator,0
Modbus,"org~""C-Power"" and service=modbus and port=502 and country=BE and last_seen>2024-07-24","Used in fieldbus communications for sensors, breakers, and PLCs in wind farms.",Wind farm operator,0
Modbus,"org~""RWE"" and service=modbus and port=502 and country=DE and last_seen>2024-07-24","Used in fieldbus communications for sensors, breakers, and PLCs in wind farms.",Energy company and operator,0
DNP3,"org~""Siemens"" and service=dnp3 and port=20000 and country=DE and last_seen>2024-07-24",Used for telemetry and control of substations and remote energy infrastructure.,Substation/grid automation vendor,1
DNP3,"org~""GE Renewable Energy"" and service=dnp3 and port=20000 and country=GB and last_seen>2024-07-24",Used for telemetry and control of substations and remote energy infrastructure.,Grid interface and substation automation,0
DNP3,"org~""GE"" and service=dnp3 and port=20000 and country=GB and last_seen>2024-07-24",Used for telemetry and control of substations and remote energy infrastructure.,Grid interface and substation automation,0
DNP3,"org~""Vattenfall"" and service=dnp3 and port=20000 and country=SE and last_seen>2024-07-24",Used for telemetry and control of substations and remote energy infrastructure.,Operator managing substations,0
DNP3,"org~""Ørsted"" and service=dnp3 and port=20000 and country=DK and last_seen>2024-07-24",Used for telemetry and control of substations and remote energy infrastructure.,Operator with grid interfaces,0
DNP3,"org~""E.ON"" and service=dnp3 and port=20000 and country=DE and last_seen>2024-07-24",Used for telemetry and control of substations and remote energy infrastructure.,Energy utility operating substations,0
DNP3,"org~""ABB"" and service=dnp3 and port=20000 and country=SE and last_seen>2024-07-24",Used for telemetry and control of substations and remote energy infrastructure.,DNP3-based RTUs and grid gear,0
DNP3,"org~""Alstom"" and service=dnp3 and port=20000 and country=FR and last_seen>2024-07-24",Used for telemetry and control of substations and remote energy infrastructure.,Grid equipment vendor,0
DNP3,"org~""EnBW"" and service=dnp3 and port=20000 and country=DE and last_seen>2024-07-24",Used for telemetry and control of substations and remote energy infrastructure.,German grid operator and utility,0
DNP3,"org~""RWE"" and service=dnp3 and port=20000 and country=DE and last_seen>2024-07-24",Used for telemetry and control of substations and remote energy infrastructure.,Grid-connected operator,0
DNP3,"org~""Metsähallitus"" and service=dnp3 and port=20000 and country=FI and last_seen>2024-07-24",Used for telemetry and control of substations and remote energy infrastructure.,Public agency operating wind installations,0
