ip,fqdns,is_anycast,service_transport,service_port,service_banner,service_protocol,service_http_title,service_http_status_code,service_http_headers_sha256,service_http_body,service_http_body_mmh3,service_http_body_sha1,service_http_body_sha256,service_http_favicon_mmh3,service_http_favicon_sha256,service_ssh_hassh,service_tls_is_self_signed,service_tls_valid_from,service_tls_expires_at,service_tls_supported_versions,service_tls_fingerprint_sha256,service_tls_fingerprint_sha1,service_tls_jarm,service_tls_serial_number,service_tls_issuer_common_name,service_tls_issuer_country,service_tls_issuer_organization,service_tls_issuer_organizational_unit,service_tls_issuer_province,service_tls_issuer_locality,service_tls_issuer_email_address,service_tls_subject_common_name,service_tls_subject_country,service_tls_subject_organization,service_tls_subject_organizational_unit,service_tls_subject_province,service_tls_subject_locality,service_tls_subject_email_address,service_tls_raw,service_tls_is_valid,service_tls_is_trusted,service_scanned_at,service_fingerprints_os_product,service_fingerprints_os_version,service_fingerprints_os_icon_url,service_fingerprints_service_product,service_fingerprints_service_version,service_fingerprints_service_icon_url,service_fingerprints_technologies,service_fingerprints_tags,service_cves,asn_number,asn_org,geo_city_name,geo_country_name,geo_country_iso_code
31.186.175.88,annualcorporatereport.com,False,tcp,587.0,"220-vps.cfplatform.nl ESMTP Exim 4.96 #2 Sun, 24 Aug 2025 21:01:18 +0200 
220-We do not authorize the use of this system to transport unsolicited, 
220 and/or bulk e-mail.
",ftp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-24T19:01:18Z,,,,,,,,,,48635.0,CLDIN B.V.,,The Netherlands,NL
31.186.175.88,annualcorporatereport.com,False,tcp,21.0,"220---------- Welcome to Pure-FTPd [privsep] [TLS] ----------
220-You are user number 1 of 50 allowed.
220-Local time is now 15:10. Server port: 21.
220-This is a private system - No anonymous login
220-IPv6 connections are also welcome on this server.
220 You will be disconnected after 15 minutes of inactivity.
",ftp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-19T13:10:14Z,,,,Pure-FTPd,,https://fp-icons.modat.io/technologies/Pure FTPD.png,,,"{'id': 'CVE-2020-9365', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2019-20176', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2021-40524', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2020-9274', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2020-35359', 'cvss': 7.5, 'is_kev': False}",48635.0,CLDIN B.V.,,The Netherlands,NL
37.97.239.10,,False,tcp,21.0,"220---------- Welcome to Pure-FTPd [privsep] [TLS] ----------
220-You are user number 1 of 50 allowed.
220-Local time is now 12:10. Server port: 21.
220-This is a private system - No anonymous login
220-IPv6 connections are also welcome on this server.
220 You will be disconnected after 15 minutes of inactivity.
",ftp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-22T10:40:26Z,,,,Pure-FTPd,,https://fp-icons.modat.io/technologies/Pure FTPD.png,,,"{'id': 'CVE-2020-35359', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2019-20176', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2021-40524', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2020-9365', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2020-9274', 'cvss': 7.5, 'is_kev': False}",20857.0,Signet B.V.,,The Netherlands,NL
149.210.243.232,"webdisk.cablejuice.tv, www.cablejuice.tv, cpanel.cablejuice.tv, mail.cablejuice.tv, webmail.cablejuice.tv, cpcalendars.cablejuice.tv, cablejuice.tv, cpcontacts.cablejuice.tv",False,tcp,587.0,"220-host.damnengine.net ESMTP Exim 4.98.2 #2 Fri, 22 Aug 2025 18:00:01 +0200 
220-We do not authorize the use of this system to transport unsolicited, 
220 and/or bulk e-mail.
",ftp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-22T16:00:01Z,,,,,,,,,,20857.0,Signet B.V.,Amersfoort,The Netherlands,NL
149.210.243.232,"webdisk.cablejuice.tv, www.cablejuice.tv, cpanel.cablejuice.tv, webmail.cablejuice.tv, mail.cablejuice.tv, cpcalendars.cablejuice.tv, cablejuice.tv, cpcontacts.cablejuice.tv",False,tcp,21.0,"220---------- Welcome to Pure-FTPd [privsep] [TLS] ----------
220-You are user number 1 of 50 allowed.
220-Local time is now 11:48. Server port: 21.
220-This is a private system - No anonymous login
220-IPv6 connections are also welcome on this server.
220 You will be disconnected after 15 minutes of inactivity.
",ftp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-17T09:48:03Z,,,,Pure-FTPd,,https://fp-icons.modat.io/technologies/Pure FTPD.png,,,"{'id': 'CVE-2021-40524', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2020-9274', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2019-20176', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2020-35359', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2020-9365', 'cvss': 7.5, 'is_kev': False}",20857.0,Signet B.V.,Amersfoort,The Netherlands,NL
81.23.229.6,"urban-connect.nl, urbanconnect.nl, www.urbannetwork.nl, www.ads.marokkomedia.nl, ads.marokkomedia.nl, mail.urbannetwork.nl, www.urban-connect.nl, www.marokko-media.nl, mail.urbanconnect.nl, urban-network.nl, mail.urban-network.nl, mail.urban-connect.nl, marokko-media.nl, urbannetwork.nl, mail.marokko-media.nl, www.marokkomedia.nl, mail.marokkomedia.nl, www.urbanconnect.nl, www.urban-network.nl, marokkomedia.nl",False,tcp,587.0,"220-rabat.hip-it.nl ESMTP Exim 4.98.1 #2 Fri, 15 Aug 2025 22:05:19 +0200 
220-We do not authorize the use of this system to transport unsolicited, 
220 and/or bulk e-mail.
",ftp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-15T20:05:19Z,,,,,,,,,,24730.0,Garnier Projects BV,,The Netherlands,NL
37.128.149.102,"recruitmentmatters.nl, vps-303361-6062.hosted.at.hostnet.nl",False,tcp,21.0,"220 (vsFTPd 3.0.2)
",ftp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-22T10:40:26Z,,,,vsFTPd,3.0.2,https://fp-icons.modat.io/technologies/default.svg,,,"{'id': 'CVE-2021-3618', 'cvss': 7.4, 'is_kev': False}",197902.0,Hostnet B.V.,,The Netherlands,NL
149.210.235.118,,False,tcp,21.0,"220---------- Welcome to Pure-FTPd [privsep] [TLS] ----------
220-You are user number 1 of 50 allowed.
220-Local time is now 08:57. Server port: 21.
220-This is a private system - No anonymous login
220-IPv6 connections are also welcome on this server.
220 You will be disconnected after 15 minutes of inactivity.
",ftp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-19T07:13:47Z,,,,Pure-FTPd,,https://fp-icons.modat.io/technologies/Pure FTPD.png,,,"{'id': 'CVE-2020-35359', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2021-40524', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2020-9274', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2019-20176', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2020-9365', 'cvss': 7.5, 'is_kev': False}",20857.0,Signet B.V.,Amersfoort,The Netherlands,NL
81.207.6.18,,False,tcp,21.0,"220 (vsFTPd 3.0.3)
",ftp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-24T08:44:03Z,,,,vsFTPd,3.0.3,https://fp-icons.modat.io/technologies/default.svg,,,"{'id': 'CVE-2021-30047', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2021-3618', 'cvss': 7.4, 'is_kev': False}",1136.0,KPN B.V.,Amsterdam,The Netherlands,NL
92.118.110.134,,False,tcp,21.0,"220---------- Welcome to Pure-FTPd [privsep] [TLS] ----------
220-You are user number 1 of 50 allowed.
220-Local time is now 13:16. Server port: 21.
220-This is a private system - No anonymous login
220-IPv6 connections are also welcome on this server.
220 You will be disconnected after 15 minutes of inactivity.
",ftp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-23T11:16:59Z,,,,Pure-FTPd,,https://fp-icons.modat.io/technologies/Pure FTPD.png,,,"{'id': 'CVE-2020-35359', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2019-20176', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2021-40524', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2020-9365', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2020-9274', 'cvss': 7.5, 'is_kev': False}",42433.0,LD4Unity B.V.,,The Netherlands,NL
92.118.110.134,,False,tcp,587.0,"220 mail.koggenlandenergieneutraal.nl ESMTP Exim 4.98 Thu, 14 Aug 2025 03:08:43 +0200
",ftp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-14T01:08:43Z,,,,,,,,,,42433.0,LD4Unity B.V.,,The Netherlands,NL
37.81.140.34,,False,tcp,23.0,Router login:,telnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-27T11:28:47.174001Z,,,,,,,,,,3320.0,Deutsche Telekom AG,Uetersen,Germany,DE
37.81.140.34,,False,tcp,502.0,"is_dnp3: true
raw_response: BWQAAAAiAGQAAAeJAAABkYAkulxnlefkAAAAAAAAAAAAAAAAAAAAAA==
",dnp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-26T07:44:57.843065Z,,,,,,,,,,3320.0,Deutsche Telekom AG,Uetersen,Germany,DE
167.99.214.253,,False,tcp,23.0,login: ,telnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-24T16:47:04Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
167.99.214.253,,False,tcp,102.0,"copyright: Original Siemens Equipment
is_s7: true
module: Siemens, SIMATIC, S7-200
module_id: ""\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0""
module_type: IM151-8 PN/DP CPU
plant_id: Mouser Factory
serial_number: '88111222'
system: Technodrome
",siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-06T07:28:39Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
167.71.4.155,,False,tcp,21.0,"200 FTP server ready.
",ftp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-13T13:00:46Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
167.71.4.155,,False,tcp,102.0,"copyright: Original Siemens Equipment
cpu_profile: ""\uFFFD""
firmware: 3.2.6
hardware: 4.0.1
is_s7: true
module: CPU 315-2 PN/DP
module_id: '6ES7 315-2EH14-0AB0 '
module_type: CPU 315-2 PN/DP
reserved_for_os: MMC 267FF11F
serial_number: S C-C2UR28922012
system: SAAP7-SERVER
",siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-08T07:05:28Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
159.65.193.74,,False,tcp,21.0,"200 FTP server ready.
",ftp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-13T21:00:41Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
159.65.193.74,,False,tcp,102.0,"copyright: Original Siemens Equipment
cpu_profile: ""\uFFFD""
firmware: 3.2.6
hardware: 4.0.1
is_s7: true
module: CPU 315-2 PN/DP
module_id: '6ES7 315-2EH14-0AB0 '
module_type: CPU 315-2 PN/DP
reserved_for_os: MMC 267FF11F
serial_number: S C-C2UR28922012
system: SAAP7-SERVER
",siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-08T03:46:32Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
159.223.235.24,,False,tcp,9095.0,,telnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-21T14:44:44Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
159.223.235.24,,False,tcp,102.0,"copyright: Original Siemens Equipment
cpu_profile: ""\uFFFD""
firmware: 3.2.6
hardware: 4.0.1
is_s7: true
module: CPU 315-2 PN/DP
module_id: '6ES7 315-2EH14-0AB0 '
module_type: CPU 315-2 PN/DP
reserved_for_os: MMC 267FF11F
serial_number: S C-C2UR28922012
system: SAAP7-SERVER
",siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-06T07:25:45Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
159.223.235.24,,False,tcp,21.0,"200 FTP server ready.
",ftp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-04T21:27:32Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
159.223.231.30,,False,tcp,21.0,"200 FTP server ready.
",ftp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-06T18:53:59Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
159.223.231.30,,False,tcp,102.0,"copyright: Original Siemens Equipment
cpu_profile: ""\uFFFD""
firmware: 3.2.6
hardware: 4.0.1
is_s7: true
module: CPU 315-2 PN/DP
module_id: '6ES7 315-2EH14-0AB0 '
module_type: CPU 315-2 PN/DP
reserved_for_os: MMC 267FF11F
serial_number: S C-C2UR28922012
system: SAAP7-SERVER
",siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-06T07:44:12Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
159.223.231.30,,False,tcp,25.0,"220 Ubuntu-noyl-1vcpu-1gb-35gb-intel ESMTP Postfix (Ubuntu)
",ftp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-13T11:10:23.192796Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
167.71.69.12,,False,tcp,2095.0,Username: ,telnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-12T07:45:38Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
167.71.69.12,,False,tcp,21.0,"200 FTP server ready.
",ftp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-07T23:20:59.479982Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
167.71.69.12,,False,tcp,102.0,"copyright: Original Siemens Equipment
cpu_profile: ""\uFFFD""
firmware: 3.2.6
hardware: 4.0.1
is_s7: true
module: CPU 315-2 PN/DP
module_id: '6ES7 315-2EH14-0AB0 '
module_type: CPU 315-2 PN/DP
reserved_for_os: MMC 267FF11F
serial_number: S C-C2UR28922012
system: SAAP7-SERVER
",siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-11T15:10:30.454192Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
188.166.122.111,,False,tcp,21.0,"200 FTP server ready.
",ftp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-12T20:53:05Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
188.166.122.111,,False,tcp,102.0,"copyright: Original Siemens Equipment
cpu_profile: ""\uFFFD""
firmware: 3.2.6
hardware: 4.0.1
is_s7: true
module: CPU 315-2 PN/DP
module_id: '6ES7 315-2EH14-0AB0 '
module_type: CPU 315-2 PN/DP
reserved_for_os: MMC 267FF11F
serial_number: S C-C2UR28922012
system: SAAP7-SERVER
",siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-06T11:07:08Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
188.166.39.90,,False,tcp,21.0,"200 FTP server ready.
",ftp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-08T00:53:42.677200Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
188.166.39.90,,False,tcp,102.0,"copyright: Original Siemens Equipment
cpu_profile: ""\uFFFD""
firmware: 3.2.6
hardware: 4.0.1
is_s7: true
module: CPU 315-2 PN/DP
module_id: '6ES7 315-2EH14-0AB0 '
module_type: CPU 315-2 PN/DP
reserved_for_os: MMC 267FF11F
serial_number: S C-C2UR28922012
system: SAAP7-SERVER
",siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-11T15:10:31.463127Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
104.248.197.169,,False,tcp,102.0,"copyright: Original Siemens Equipment
cpu_profile: ""\uFFFD""
firmware: 3.2.6
hardware: 4.0.1
is_s7: true
module: CPU 315-2 PN/DP
module_id: '6ES7 315-2EH14-0AB0 '
module_type: CPU 315-2 PN/DP
reserved_for_os: MMC 267FF11F
serial_number: S C-C2UR28922012
system: SAAP7-SERVER
",siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-11T15:10:31.860243Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
104.248.197.169,,False,tcp,21.0,"200 FTP server ready.
",ftp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-06T16:46:59.286796Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
128.199.42.147,,False,tcp,1950.0,Username: ,telnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-13T01:16:32Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
128.199.42.147,,False,tcp,21.0,"200 FTP server ready.
",ftp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-08T00:14:08.188170Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
128.199.42.147,,False,tcp,102.0,"copyright: Original Siemens Equipment
cpu_profile: ""\uFFFD""
firmware: 3.2.6
hardware: 4.0.1
is_s7: true
module: CPU 315-2 PN/DP
module_id: '6ES7 315-2EH14-0AB0 '
module_type: CPU 315-2 PN/DP
reserved_for_os: MMC 267FF11F
serial_number: S C-C2UR28922012
system: SAAP7-SERVER
",siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-25T09:26:28.707051Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
188.166.46.28,,False,tcp,102.0,"copyright: Original Siemens Equipment
cpu_profile: ""\uFFFD""
firmware: 3.2.6
hardware: 4.0.1
is_s7: true
module: CPU 315-2 PN/DP
module_id: '6ES7 315-2EH14-0AB0 '
module_type: CPU 315-2 PN/DP
reserved_for_os: MMC 267FF11F
serial_number: S C-C2UR28922012
system: SAAP7-SERVER
",siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-26T10:49:06Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
188.166.46.28,,False,tcp,21.0,"200 FTP server ready.
",ftp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-07T20:32:41.442315Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
209.38.100.45,,False,tcp,102.0,"copyright: Original Siemens Equipment
cpu_profile: ""\uFFFD""
firmware: 3.2.6
hardware: 4.0.1
is_s7: true
module: CPU 315-2 PN/DP
module_id: '6ES7 315-2EH14-0AB0 '
module_type: CPU 315-2 PN/DP
reserved_for_os: MMC 267FF11F
serial_number: S C-C2UR28922012
system: SAAP7-SERVER
",siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-28T10:26:08.547660Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
209.38.100.45,,False,tcp,5555.0,Username: ,telnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-07T20:20:27.150156Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
142.93.232.3,,False,tcp,102.0,"copyright: Original Siemens Equipment
cpu_profile: ""\uFFFD""
firmware: 3.2.6
hardware: 4.0.1
is_s7: true
module: CPU 315-2 PN/DP
module_id: '6ES7 315-2EH14-0AB0 '
module_type: CPU 315-2 PN/DP
reserved_for_os: MMC 267FF11F
serial_number: S C-C2UR28922012
system: SAAP7-SERVER
",siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-21T21:58:13.414969Z,,,,,,,,,,14061.0,DIGITALOCEAN-ASN,Amsterdam,The Netherlands,NL
